id	name	no_alle	no_activity	no_bi	no_gg	x	y	prazision	noten	region1	region2	region3
1	Absdorf	1	0	0	1	48.400	15.983	1			Nordostniederösterreich	Nordostniederösterreich
2	Admont	6	0	6	0	47.583	14.467	1			Nordsteiermark	Nordsteiermark
3	Aisthofen in Riedmark	1	0	0	1	48.258	14.591	3			Nordwestniederösterreich	Nordwestniederösterreich
4	Aldersbach	1	0	1	0	48.590	13.090	1			Bayern	Bayern
5	Alland	1	0	0	1	48.057	16.078	1			Südostniederösterreich	Südostniederösterreich
6	Alt-Melon/Altmelon	1	0	1	0	48.462	14.966	3			Nordwestniederösterreich	Nordwestniederösterreich
7	Altenburg	4	1	3	0	48.647	15.593	3			Nordwestniederösterreich	Nordwestniederösterreich
8	Altenhofen	2	0	1	1	48.182	14.547	1			Oberösterreich	Oberösterreich
9	Altpölla	2	0	2	0	48.629	15.378	1			Nordwestniederösterreich	Nordwestniederösterreich
10	Altzelle	1	0	1	0	51.060	13.276	1			Meissen	Meissen
11	Apfaltersbach	1	0	0	1	47.676	15.902	1			Südostniederösterreich	Südostniederösterreich
12	Ardagger	4	0	3	1	48.183	14.833	1			Südwestniederösterreich	Südwestniederösterreich
13	Arnoldstein	1	1	0	0	46.550	13.750	1			Ostkärnten	Ostkärnten
14	Arzwald	3	0	0	3	47.217	15.283	2			Mittelsteiermark	Mittelsteiermark
15	Assisi	1	1	0	0	43.075	12.605	1			Italien	Italien
16	Atzelsdorf	0	0	0	0	48.287	15.960	1			Nordostniederösterreich	Nordostniederösterreich
17	Bad Aussee	1	0	0	1	47.609	13.784	1			Nordsteiermark	Nordsteiermark
18	Bad Ischl	2	0	0	2	47.712	13.621	1			Oberösterreich	Oberösterreich
19	Baumgartenberg	3	0	3	0	48.209	14.744	1			Nordwestniederösterreich	Nordwestniederösterreich
20	Baumkirchen	1	0	1	0	47.152	14.750	1			Nordsteiermark	Nordsteiermark
21	Bautzen	1	1	0	0	51.182	14.423	1			Bautzenland	Bautzenland
22	Bautzenland	0	0	0	0			2			Bautzenland	Bautzenland
23	Bayern	0	0	0	0			2			Bayern	Bayern
24	Benešov	1	0	1	0	49.932	18.005	1			Troppauer Teil	Troppauer Teil
25	Beňovice	2	0	0	2	49.391	13.260	1			Südwestböhmen	Südwestböhmen
26	Berchtesgaden	1	0	1	0	47.631	13.002	1			Salzburg	Salzburg
27	Beroun	2	2	0	0	49.964	14.073	1			Mittelböhmen	Mittelböhmen
28	Bítov	2	0	2	0	48.936	15.729	1			Znaimer Teil	Znaimer Teil
29	Bítov bei Stříbro	1	0	0	1	49.753	13.004	2			Südwestböhmen	Südwestböhmen
30	Blansko	2	2	0	0	49.363	16.644	1			Brünner Teil	Brünner Teil
31	Bliszyczyce	1	0	0	1	50.082	17.755	1			Troppauer Teil	Troppauer Teil
32	Blučina	1	0	0	1	49.055	16.646	1			Brünner Teil	Brünner Teil
33	Böhmen	7	0	7	0			2			Böhmen	Böhmen
34	Böhmisch Bruck	2	0	2	0	49.576	12.353	1			Bayern	Bayern
35	Böhmischmährische Höhe	0	0	0	0			2			Böhmischmährische Höhe	Böhmischmährische Höhe
36	Boletice	1	0	0	1	48.825	14.220	1			Südböhmen	Südböhmen
37	Brandenburg	1	0	1	0			2			Brandenburg	Brandenburg
38	Bratislava	17	12	5	0	48.142	17.103	1			Westungarn	Westungarn
39	Břevnov	14	0	14	0	50.074	14.383	1			Prag	Prag
40	Brixen	1	0	1	0	46.716	11.657	1			Westkärnten	Westkärnten
41	Brno	55	43	8	4	49.190	16.610	1			Brünner Teil	Brünner Teil
42	Brozany nad Ohří	1	0	0	1	50.454	14.145	1			Nordböhmen	Nordböhmen
43	Bruck an der Mur	2	0	2	0	47.410	15.269	1			Nordsteiermark	Nordsteiermark
44	Brünner Teil	0	0	0	0			2			Brünner Teil	Brünner Teil
45	Bubeneč	1	0	0	1	50.102	14.399	1			Mittelböhmen	Mittelböhmen
46	Buda	1	1	0	0	47.488	19.046	1			Westungarn	Westungarn
47	Budeč	2	0	0	2	50.192	14.246	1	hrad		Mittelböhmen	Mittelböhmen
48	Budyně nad Ohří	4	4	0	0	50.404	14.126	1			Nordböhmen	Nordböhmen
49	Čáslav	4	1	2	1	49.910	15.389	1			Ostböhmen	Ostböhmen
50	Čepihory	1	0	1	0	50.489	13.621	1			Nordwestböhmen	Nordwestböhmen
51	Cerhonice	1	0	0	1	49.418	14.056	1			Südböhmen	Südböhmen
52	Cerhovice	1	0	0	1	49.850	13.835	1			Mittelböhmen	Mittelböhmen
53	Červený Kameň	2	1	1	0	48.392	17.335	1			Westungarn	Westungarn
54	České Budějovice	3	1	1	1	48.974	14.474	1			Südböhmen	Südböhmen
55	České Kopisty	1	0	0	1	50.525	14.168	1			Nordböhmen	Nordböhmen
56	Český Krumlov	1	0	1	0	48.811	14.315	1			Südböhmen	Südböhmen
57	Cham	2	2	0	0	49.218	12.666	1			Bayern	Bayern
58	Cheb	3	1	2	0	50.071	12.380	1			Egerland	Egerland
59	Chełmno	2	2	0	0	53.348	18.424	1			Preussen	Preussen
60	Chomutov	1	0	1	0	50.464	13.411	1			Nordwestböhmen	Nordwestböhmen
61	Chomýž	1	0	0	1	50.110	17.648	1			Troppauer Teil	Troppauer Teil
62	Chotěšov	5	0	5	0	49.654	13.203	3			Südwestböhmen	Südwestböhmen
63	Chrudim	1	0	1	0	49.951	15.796	1			Ostböhmen	Ostböhmen
64	Cvilín	1	0	1	0	50.082	17.721	1			Troppauer Teil	Troppauer Teil
1	Dědice	1	0	1	0	49.295	16.977	3			Olmützer Teil	Olmützer Teil
2	Deutschlandsberg	1	0	0	1			1				
3	Diváky	2	0	0	2	48.989	16.790	1			Brünner Teil	Brünner Teil
4	Dobi	1	0	0	1	46.948	15.374	1			Mittelsteiermark	Mittelsteiermark
5	Dobra (bei St. Peter in der Au-Markt )	1	0	1	0	48.046	14.625	1			Oberösterreich	Oberösterreich
6	Dobrava pri Škocjanu	3	0	1	2	45.875	15.327	1			Krain	Krain
7	Dobrenje	1	0	0	1	46.609	15.662	1			Südsteiermark	Südsteiermark
8	Dobříš	1	1	0	0	49.783	14.175	1			Mittelböhmen	Mittelböhmen
9	Doksany	4	0	4	0	50.455	14.160	1			Nordböhmen	Nordböhmen
10	Doksy	1	0	1	0	50.565	14.656	1			Nordböhmen	Nordböhmen
11	Dolní Bukovsko	1	0	0	1	49.171	14.580	1			Südböhmen	Südböhmen
12	Dolní Černošice	1	0	0	1	49.961	14.331	1			Mittelböhmen	Mittelböhmen
13	Dolní Vltavice	1	0	0	1	48.697	14.076	1			Südböhmen	Südböhmen
14	Domažlice	4	2	1	1	49.440	12.930	1			Südwestböhmen	Südwestböhmen
15	Doubravník	2	0	2	0	49.424	16.353	1			Brünner Teil	Brünner Teil
16	Doudleby	1	0	0	1	48.894	14.500	1			Südböhmen	Südböhmen
17	Dravograd	1	0	0	1	46.589	15.024	1			Ostkärnten	Ostkärnten
18	Dřenice	1	0	0	1	49.983	15.745	1			Ostböhmen	Ostböhmen
19	Drnholec	2	0	2	0	48.857	16.486	1			Znaimer Teil	Znaimer Teil
20	Drosendorf	3	2	0	1	48.866	15.622	1			Nordwestniederösterreich	Nordwestniederösterreich
21	Dürnstein	2	0	2	0	48.407	15.525	1			Nordwestniederösterreich	Nordwestniederösterreich
22	Eferding	1	0	0	1	48.308	14.020	1			Oberösterreich	Oberösterreich
23	Eger	2	1	1	0	47.903	20.373	1			Westungarn	Westungarn
24	Egerland	1	0	1	0			2			Egerland	Egerland
25	Eggenburg	3	1	0	2	48.639	15.819	1			Nordostniederösterreich	Nordostniederösterreich
26	Eggendorf am Wagram	1	0	0	1	48.403	16.040	1			Nordostniederösterreich	Nordostniederösterreich
27	Eggendorf bei Wiener Neustadt	1	0	0	1	47.858	16.322	1			Südostniederösterreich	Südostniederösterreich
28	ein Wald Bor zwischen Kolín und Čáslav	1	0	0	1	49.996	15.310	2	les		Ostböhmen	Ostböhmen
29	Eisenreichdornach	1	0	0	1	48.131	14.891	3			Südwestniederösterreich	Südwestniederösterreich
30	Elblag	1	1	0	0	54.152	19.409	1			Preussen	Preussen
31	Emmersdorf an der Donau	3	0	1	2	48.253	15.324	1			Nordwestniederösterreich	Nordwestniederösterreich
32	Enns	6	2	2	2	48.214	14.479	1			Oberösterreich	Oberösterreich
33	Erla	2	0	2	0	48.199	14.570	3			Oberösterreich	Oberösterreich
34	Ernstbrunn	1	0	0	1	48.526	16.360	1			Nordostniederösterreich	Nordostniederösterreich
35	Falkenstein	1	0	0	1	48.717	16.586	1			Nordostniederösterreich	Nordostniederösterreich
36	Falkenstein an der Ranna 	0	0	0	0	48.494	13.783	1			Bayern	Bayern
37	Feistritz bei Prank	1	0	0	1	47.279	14.863	2			Nordsteiermark	Nordsteiermark
38	Freising	33	0	33	0	48.399	11.746	3			Bayern	Bayern
39	Freistadt	9	9	0	0	48.517	14.517	3			Oberösterreich	Oberösterreich
40	Friesach	7	4	2	1	46.984	14.326	1			Ostkärnten	Ostkärnten
41	Frýdlant	2	0	1	1	50.921	15.080	1			Nordböhmen	Nordböhmen
42	Fulštejn	3	0	2	1	50.243	17.714	3			Troppauer Teil	Troppauer Teil
43	Fürstenfeld	1	0	1	0	47.050	16.071	1			Mittelsteiermark	Mittelsteiermark
44	Gaflenz	1	0	0	1	47.895	14.726	1			Oberösterreich	Oberösterreich
45	Gaming	2	2	0	0	47.929	15.088	1			Südwestniederösterreich	Südwestniederösterreich
46	Gars am Kamp	1	0	0	1	48.599	15.662	1			Nordwestniederösterreich	Nordwestniederösterreich
47	Garsten	5	0	5	0	48.022	14.409	1			Oberösterreich	Oberösterreich
48	Geras	3	0	3	0	48.781	15.665	1			Nordwestniederösterreich	Nordwestniederösterreich
49	Gerasdorf	1	0	0	1	48.296	16.469	1			Nordostniederösterreich	Nordostniederösterreich
50	Glanz an der Weinstraße	1	0	0	1	46.662	15.537	1			Südsteiermark	Südsteiermark
51	Glaubitsch	2	0	1	1	48.653	16.380	1			Nordostniederösterreich	Nordostniederösterreich
52	Gleink	3	0	3	0	48.067	14.417	1			Oberösterreich	Oberösterreich
53	Głubczyce	6	1	4	1	50.201	17.829	1			Troppauer Teil	Troppauer Teil
54	Gornji Grad	1	0	1	0	46.289	14.801	1			Patriarchat Aquileia	Patriarchat Aquileia
55	Gosau	1	0	0	1	47.585	13.536	1			Oberösterreich	Oberösterreich
56	Gössendorf	2	0	0	2	46.998	15.486	1			Mittelsteiermark	Mittelsteiermark
57	Göttweig	3	0	3	0	48.368	15.613	1			Südwestniederösterreich	Südwestniederösterreich
58	Gramastetten	2	0	0	2	48.379	14.192	1			Oberösterreich	Oberösterreich
59	Graslupp	1	0	0	1	47.071	14.381	1			Nordsteiermark	Nordsteiermark
60	Gratwein	1	0	1	0	47.129	15.318	1			Mittelsteiermark	Mittelsteiermark
61	Graz	41	38	2	1	47.067	15.450	1			Mittelsteiermark	Mittelsteiermark
62	Grobniki	6	0	4	2	50.197	17.871	1			Troppauer Teil	Troppauer Teil
63	Groißenbrunn	1	1	0	0	48.223	16.902	1			Nordostniederösterreich	Nordostniederösterreich
64	Großotten	1	0	1	0	48.643	14.981	1			Nordwestniederösterreich	Nordwestniederösterreich
65	Groß-Enzersdorf	3	0	0	3	48.197	16.551	1			Nordostniederösterreich	Nordostniederösterreich
66	Grosspolen	0	0	0	0			2			Grosspolen	Grosspolen
67	Guntersdorf	1	0	0	1	48.645	16.053	1			Nordostniederösterreich	Nordostniederösterreich
68	Gurk	2	0	2	0	46.875	14.288	1			Ostkärnten (Ausland) 	Ostkärnten (Ausland) 
69	Gwardeisk	1	1	0	0	54.648	21.065	1			Preussen	Preussen
70	Györ	2	1	1	0	47.688	17.635	1			Westungarn	Westungarn
71	Haidershofen	2	0	0	2	48.075	14.458	1			Oberösterreich	Oberösterreich
72	Hainburg	6	5	0	1	48.146	16.946	3			Südostniederösterreich	Südostniederösterreich
73	Halbenrein	2	0	1	1	46.727	15.930	1			Mittelsteiermark	Mittelsteiermark
74	Hardegg	2	0	2	0	48.853	15.858	1			Nordwestniederösterreich	Nordwestniederösterreich
75	Haringsee	1	0	0	1	48.191	16.786	1			Nordostniederösterreich	Nordostniederösterreich
76	Hartberg	1	1	0	0	47.281	15.970	1			Mittelsteiermark	Mittelsteiermark
77	Haslau an der Donau	1	0	1	0	48.118	16.719	1			Südostniederösterreich	Südostniederösterreich
78	Hassbach	1	0	1	0	47.653	16.057	1			Südostniederösterreich	Südostniederösterreich
79	Havlíčkův Brod	6	3	2	1	49.607	15.579	1			Böhmischmährische Höhe	Böhmischmährische Höhe
80	Heiligenkreuz	15	0	15	0	48.056	16.131	1			Südostniederösterreich	Südostniederösterreich
81	Hejčín	2	0	0	2	49.605	17.240	1			Olmützer Teil	Olmützer Teil
82	Helfenstein	1	0	0	1	47.090	15.192	1	hrad		Südsteiermark	Südsteiermark
83	Hennersdorf bei Wien	1	0	0	1	48.111	16.360	1			Wien	Wien
84	Hernstein	2	0	0	2	47.894	16.104	1			Südostniederösterreich	Südostniederösterreich
85	Heunburg	1	0	1	0	46.694	14.670	1			Ostkärnten	Ostkärnten
86	Herzogenbirbaum	1	1	0	0	48.519	16.251	2			Nordostniederösterreich	Nordostniederösterreich
87	Hluboký	0	0	0	0	49.516	14.036	2	zaniklé		Südböhmen	Südböhmen
88	Hlučín	1	0	1	0	49.898	18.192	1			Troppauer Teil	Troppauer Teil
89	Hněvkovice	1	0	0	1	49.686	15.205	1			Böhmischmährische Höhe	Böhmischmährische Höhe
90	Hohenberg	5	0	5	0	47.910	15.622	3			Südwestniederösterreich	Südwestniederösterreich
91	Hohenwarth	1	0	0	1	48.506	15.827	1			Nordostniederösterreich	Nordostniederösterreich
92	Holenstein an der Ybbs	1	0	0	1	47.806	14.771	1			Südwestniederösterreich	Südwestniederösterreich
93	Hořepník	1	0	1	0	49.513	15.108	1			Böhmischmährische Höhe	Böhmischmährische Höhe
94	Hórky u Klatov	2	0	0	2	49.396	13.295	2			Südwestböhmen	Südwestböhmen
95	Horn	1	0	0	1	48.665	15.656	1			Nordwestniederösterreich	Nordwestniederösterreich
96	Horní Slavkov	1	0	0	1	50.139	12.808	1			Nordwestböhmen	Nordwestböhmen
97	Hradec Králové	5	4	1	0	50.209	15.833	1			Nordostböhmen	Nordostböhmen
98	Hradec nad Moravicí	3	3	0	0	49.871	17.875	1			Troppauer Teil	Troppauer Teil
99	Hradisko u Olomouce	12	0	12	0	49.606	17.265	3	Pokiaľ je to správne Hradisko, tak asi zjednotiť s Olomoucí		Olmützer Teil	Olmützer Teil
100	Hrdibořice	1	0	0	1	49.478	17.220	1			Olmützer Teil	Olmützer Teil
101	Hrušovany	3	0	0	3	50.520	14.280	1			Nordböhmen	Nordböhmen
102	Hulín	1	0	0	1	49.317	17.464	1			Nordostmähren	Nordostmähren
103	Hundsheim	2	0	1	1	48.387	15.558	1			Südwestniederösterreich	Südwestniederösterreich
104	Hustopeče	1	0	1	0	48.941	16.738	1			Brünner Teil	Brünner Teil
105	Imbach	4	0	4	0	48.439	15.576	1	Zjednotiť s Krems?		Nordwestniederösterreich	Nordwestniederösterreich
106	Italien	0	0	0	0			2			Italien	Italien
107	Jablonné v Podještědí	1	1	0	0	50.765	14.760	1			Nordböhmen	Nordböhmen
108	Jägerberg bei Steyr	1	0	1	0	48.039	14.419	1			Oberösterreich	Oberösterreich
109	Jaroměřice nad Rokytkou	2	1	1	0	49.094	15.893	1	Jaromerice nad Rokytnou?		Znaimer Teil	Znaimer Teil
110	Jedenspeigen	2	2	0	0	48.499	16.872	1			Nordostniederösterreich	Nordostniederösterreich
111	Jemníky	1	0	0	1	50.206	14.118	1			Mittelböhmen	Mittelböhmen
112	Jeneč	1	0	0	1	50.088	14.213	1			Mittelböhmen	Mittelböhmen
113	Jevíčko	1	0	1	0	49.632	16.711	1			Olmützer Teil	Olmützer Teil
114	Jihlava	11	7	4	0	49.396	15.591	1			Böhmischmährische Höhe	Böhmischmährische Höhe
115	Jindřichův Hradec	2	1	1	0	49.144	15.003	1			Südböhmen	Südböhmen
116	Judenburg	11	5	5	1	47.167	14.667	1			Nordsteiermark	Nordsteiermark
117	Jundrov	1	0	0	1	49.208	16.545	1			Brünner Teil	Brünner Teil
118	Kadaň	2	0	2	0	50.376	13.271	1			Nordwestböhmen	Nordwestböhmen
119	Kaliningrad	1	1	0	0	54.706	20.511	1			Preussen	Preussen
120	Kalisz	1	1	0	0	51.762	18.090	1			Pollen	Pollen
121	Kamnik	1	0	1	0	46.223	14.606	1			Krain	Krain
122	Kamýk nad Vltavou	3	3	0	0	49.639	14.253	1			Mittelböhmen	Mittelböhmen
123	Kappling	1	0	1	0	48.144	13.902	1			Oberösterreich	Oberösterreich
124	Kärnten	1	0	1	0			2			Kärnten	Kärnten
125	Kienberg	1	0	0	1	46.777	14.770	1			Westkärnten	Westkärnten
126	Kirchberg am Wechsel	1	0	1	0	47.610	15.989	1			Südostniederösterreich	Südostniederösterreich
127	Kircheim (verschollene?)	0	0	0	0			1			Nordostniederösterreich	Nordostniederösterreich
128	Kladruby	4	2	2	0	49.712	12.995	3			Südwestböhmen	Südwestböhmen
129	Klagenfurt	1	0	0	1	46.624	14.310	1			Ostkärnten	Ostkärnten
130	Klatovy	2	0	2	0	49.396	13.295	1			Südwestböhmen	Südwestböhmen
131	Kleinweikersdorf	2	1	0	1	48.631	16.198	1			Nordostniederösterreich	Nordostniederösterreich
132	Kleinzwettl	1	0	0	1	48.881	15.215	1			Nordwestniederösterreich	Nordwestniederösterreich
133	Klevevž (Klingenfels)	1	0	1	0	45.907	15.233	2			Krain	Krain
134	Kłodzko	3	0	3	0	50.435	16.661	1			Nordostböhmen	Nordostböhmen
135	Klosterneuburg	9	1	8	0	48.305	16.325	1			Wien	Wien
136	Knínice - Konice	1	0	0	1	49.569	16.793	2	oblast		Olmützer Teil	Olmützer Teil
137	Knittelfeld	1	0	1	0	47.200	14.836	1			Nordsteiermark	Nordsteiermark
138	Kolín	1	0	1	0	50.028	15.203	1			Ostböhmen	Ostböhmen
139	Königsbrunn am Wagram	4	0	4	0	48.387	15.932	1			Nordostniederösterreich	Nordostniederösterreich
140	Korneuburg	8	7	1	0	48.340	16.330	1			Wien	Wien
141	Kostanjevica na Krki	7	2	4	1	45.846	15.420	1			Krain	Krain
142	Kostelec	1	0	0	1	50.151	17.671	4	část dnešní obce Radynia		Troppauer Teil	Troppauer Teil
143	Kostelní Myslová	1	0	0	1	49.148	15.429	1			Böhmischmährische Höhe	Böhmischmährische Höhe
144	Kouřim	1	0	1	0	50.003	14.976	1			Ostböhmen	Ostböhmen
145	Kozłówki	1	0	0	1	50.089	17.968	1			Troppauer Teil	Troppauer Teil
146	Krain	0	0	0	0			2			Krain	Krain
147	Krakauer Land	0	0	0	0			2			Krakauer Land	Krakauer Land
148	Kraków	2	0	2	0	50.061	19.937	1			Krakauer Land	Krakauer Land
149	Kraslice	1	0	0	1	50.324	12.517	1			Nordwestböhmen	Nordwestböhmen
150	Kravaře u České Lípy	2	1	1	0	50.632	14.392	1			Nordböhmen	Nordböhmen
