,id,name,no_alle,no_activity,no_reise,no_bi,no_gg,x,y,prazision,typ,noten,region0,region1,region2,Region2shortcut,region3,geometry
14,14.0,Arnoldstein,2.0,1.0,1.0,0.0,0.0,46.55,13.75,1.0,gemeinde,,Kärnten,Kärnten,Ostkärnten,OK,Ostkärnten,POINT (13.75 46.55)
22,21.0,Balga,2.0,1.0,1.0,0.0,0.0,54.557,19.998,1.0,gemeinde,,Ausland,Preussen (Ausland),Preussen (Ausland),Pre,Preussen (Ausland),POINT (19.998 54.557)
31,30.0,Beroun,4.0,2.0,2.0,0.0,0.0,49.964,14.073,1.0,gemeinde,,Böhmen,Böhmen,Mittelböhmen,MB,Mittelböhmen,POINT (14.073 49.964)
42,41.0,Bratislava,25.0,10.0,10.0,5.0,0.0,48.142,17.103,1.0,gemeinde,,Ungarn,Ungarn,Westungarn,WU,Westungarn,POINT (17.103 48.142)
45,44.0,Brno,103.0,42.0,47.0,10.0,4.0,49.19,16.61,1.0,gemeinde,,Mähren,Mähren,Brünner Teil,BT,Brünner Teil,POINT (16.61 49.19)
52,51.0,Budyně nad Ohří,8.0,4.0,4.0,0.0,0.0,50.404,14.126,1.0,gemeinde,,Böhmen,Böhmen,Nordböhmen,NB,Nordböhmen,POINT (14.126 50.404)
53,52.0,Čáslav,5.0,1.0,1.0,2.0,1.0,49.91,15.389,1.0,gemeinde,,Böhmen,Böhmen,Ostböhmen,OB,Ostböhmen,POINT (15.389 49.91)
57,56.0,Červený Kameň,3.0,1.0,1.0,1.0,0.0,48.392,17.335,1.0,gemeinde,,Ungarn,Ungarn,Westungarn,WU,Westungarn,POINT (17.335 48.392)
58,57.0,České Budějovice,5.0,1.0,1.0,2.0,1.0,48.974,14.474,1.0,gemeinde,,Böhmen,Böhmen,Südböhmen,SB,Südböhmen,POINT (14.474 48.974)
62,61.0,Cham,4.0,2.0,2.0,0.0,0.0,49.218,12.666,1.0,gemeinde,,Ausland,Bayern,Bayern,Ba,Bayern,POINT (12.666 49.218)
63,62.0,Cheb,6.0,2.0,2.0,2.0,0.0,50.071,12.38,1.0,gemeinde,,Böhmen,Egerland,Egerland,Eg,Egerland,POINT (12.38 50.071)
64,63.0,Chełmno,6.0,3.0,3.0,0.0,0.0,53.348,18.424,1.0,gemeinde,,Ausland,Preussen,Preussen,Pre,Preussen,POINT (18.424 53.348)
77,76.0,Dobříš,2.0,1.0,1.0,0.0,0.0,49.783,14.175,1.0,gemeinde,,Böhmen,Böhmen,Mittelböhmen,MB,Mittelböhmen,POINT (14.175 49.783)
83,82.0,Domažlice,6.0,2.0,2.0,1.0,1.0,49.44,12.93,1.0,gemeinde,,Böhmen,Böhmen,Südwestböhmen,SWB,Südwestböhmen,POINT (12.93 49.44)
90,89.0,Drosendorf,5.0,2.0,2.0,0.0,1.0,48.866,15.622,1.0,gemeinde,,Niederösterreich,Niederösterreich,Nordwestniederösterreich,NWNÖ,Nordwestniederösterreich,POINT (15.622 48.866)
96,95.0,Eggenburg,4.0,1.0,1.0,1.0,1.0,48.639,15.819,1.0,gemeinde,,Niederösterreich,Niederösterreich,Nordostniederösterreich,NONÖ,Nordostniederösterreich,POINT (15.819 48.639)
102,101.0,Elbląg,4.0,2.0,2.0,0.0,0.0,54.152,19.409,1.0,gemeinde,,Ausland,Preussen,Preussen,Pre,Preussen,POINT (19.409 54.152)
104,103.0,Enns,9.0,2.0,2.0,2.0,3.0,48.214,14.479,1.0,gemeinde,,Oberösterreich,Oberösterreich,Oberösterreich,OÖ,Oberösterreich,POINT (14.479 48.214)
113,112.0,Freistadt,18.0,9.0,9.0,0.0,0.0,48.517,14.517,3.0,gemeinde,,Oberösterreich,Oberösterreich,Oberösterreich,OÖ,Oberösterreich,POINT (14.517 48.517)
114,113.0,Friesach,11.0,4.0,4.0,2.0,1.0,46.984,14.326,1.0,gemeinde,,Kärnten,Kärnten,Ostkärnten,OK,Ostkärnten,POINT (14.326 46.984)
119,118.0,Gaming,4.0,2.0,2.0,0.0,0.0,47.929,15.088,1.0,gemeinde,,Niederösterreich,Niederösterreich,Südwestniederösterreich,SWNÖ,Südwestniederösterreich,POINT (15.088 47.929)
127,126.0,Głubczyce,9.0,2.0,2.0,4.0,1.0,50.201,17.829,1.0,gemeinde,,Schlesien,Schlesien,Troppauer Teil,TT,Troppauer Teil,POINT (17.829 50.201)
135,134.0,Graz,82.0,39.0,40.0,2.0,1.0,47.067,15.45,1.0,gemeinde,,Steiermark,Steiermark,Mittelsteiermark,MS,Mittelsteiermark,POINT (15.45 47.067)
137,136.0,Groißenbrunn,2.0,1.0,1.0,0.0,0.0,48.223,16.902,1.0,gemeinde,,Niederösterreich,Niederösterreich,Nordostniederösterreich,NONÖ,Nordostniederösterreich,POINT (16.902 48.223)
144,143.0,Gwardeisk,2.0,1.0,1.0,0.0,0.0,54.648,21.065,1.0,gemeinde,,Ausland,Preussen,Preussen,Pre,Preussen,POINT (21.065 54.648)
145,144.0,Györ,3.0,1.0,1.0,1.0,0.0,47.688,17.635,1.0,gemeinde,,Ungarn,Ungarn,Westungarn,WU,Westungarn,POINT (17.635 47.688)
147,146.0,Hainburg,11.0,5.0,5.0,0.0,1.0,48.146,16.946,3.0,gemeinde,,Niederösterreich,Niederösterreich,Südostniederösterreich,SONÖ,Südostniederösterreich,POINT (16.946 48.146)
151,150.0,Hartberg,2.0,1.0,1.0,0.0,0.0,47.281,15.97,1.0,gemeinde,,Steiermark,Steiermark,Mittelsteiermark,MS,Mittelsteiermark,POINT (15.97 47.281)
154,153.0,Havlíčkův Brod,9.0,3.0,3.0,2.0,1.0,49.607,15.579,1.0,gemeinde,,Böhmen,Böhmen,Böhmischmährische Höhe,BMH,Böhmischmährische Höhe,POINT (15.579 49.607)
160,159.0,Herzogenbirbaum,2.0,1.0,1.0,0.0,0.0,48.519,16.251,2.0,gemeinde,,Niederösterreich,Niederösterreich,Nordostniederösterreich,NONÖ,Nordostniederösterreich,POINT (16.251 48.519)
172,171.0,Hradec Králové,9.0,4.0,4.0,1.0,0.0,50.209,15.833,1.0,gemeinde,,Böhmen,Böhmen,Nordostböhmen,NOB,Nordostböhmen,POINT (15.833 50.209)
173,172.0,Hradec nad Moravicí,6.0,3.0,3.0,0.0,0.0,49.871,17.875,1.0,gemeinde,,Schlesien,Schlesien,Troppauer Teil,TT,Troppauer Teil,POINT (17.875 49.871)
182,181.0,Jablonné v Podještědí,2.0,1.0,1.0,0.0,0.0,50.765,14.76,1.0,gemeinde,,Böhmen,Böhmen,Nordböhmen,NB,Nordböhmen,POINT (14.76 50.765)
184,183.0,Jaroměřice nad Rokytkou,5.0,2.0,2.0,1.0,0.0,49.094,15.893,1.0,gemeinde,Jaromerice nad Rokytnou?,Mähren,Mähren,Znaimer Teil,ZT,Znaimer Teil,POINT (15.893 49.094)
185,184.0,Jedenspeigen,4.0,2.0,2.0,0.0,0.0,48.499,16.872,1.0,gemeinde,,Niederösterreich,Niederösterreich,Nordostniederösterreich,NONÖ,Nordostniederösterreich,POINT (16.872 48.499)
189,188.0,Jihlava,17.0,7.0,6.0,4.0,0.0,49.396,15.591,1.0,gemeinde,,Böhmen,Böhmen,Böhmischmährische Höhe,BMH,Böhmischmährische Höhe,POINT (15.591 49.396)
190,189.0,Jindřichův Hradec,3.0,1.0,1.0,1.0,0.0,49.144,15.003,1.0,gemeinde,,Böhmen,Böhmen,Südböhmen,SB,Südböhmen,POINT (15.003 49.144)
191,190.0,Judenburg,17.0,6.0,6.0,5.0,0.0,47.167,14.667,1.0,gemeinde,,Steiermark,Steiermark,Nordsteiermark,NS,Nordsteiermark,POINT (14.667 47.167)
194,193.0,Kahlenberg (heute Leopoldberg),1.0,1.0,0.0,0.0,0.0,48.278,16.346,1.0,gemeinde,,Niederösterreich,Wien,Wien,Wi,Wien,POINT (16.346 48.278)
195,194.0,Kaliningrad,2.0,1.0,1.0,0.0,0.0,54.706,20.511,1.0,gemeinde,,Ausland,Preussen,Preussen,Pre,Preussen,POINT (20.511 54.706)
196,195.0,Kalisz,2.0,1.0,1.0,0.0,0.0,51.762,18.09,1.0,gemeinde,,Ausland,Pollen,Pollen,Po,Pollen,POINT (18.09 51.762)
198,198.0,Kamýk nad Vltavou,8.0,4.0,4.0,0.0,0.0,49.639,14.253,1.0,gemeinde,,Böhmen,Böhmen,Mittelböhmen,MB,Mittelböhmen,POINT (14.253 49.639)
204,205.0,Kladruby,6.0,2.0,2.0,2.0,0.0,49.712,12.995,3.0,gemeinde,,Böhmen,Böhmen,Südwestböhmen,SWB,Südwestböhmen,POINT (12.995 49.712)
207,208.0,Kleinweikersdorf,3.0,1.0,1.0,0.0,1.0,48.631,16.198,1.0,gemeinde,,Niederösterreich,Niederösterreich,Nordostniederösterreich,NONÖ,Nordostniederösterreich,POINT (16.198 48.631)
216,217.0,Korneuburg,8.0,7.0,0.0,1.0,0.0,48.34,16.33,1.0,gemeinde,,Niederösterreich,Wien,Wien,Wi,Wien,POINT (16.33 48.34)
217,218.0,Kostanjevica na Krki,9.0,2.0,2.0,4.0,1.0,45.846,15.42,1.0,gemeinde,,Krain + Aquileia,Krain,Krain,Kr,Krain,POINT (15.42 45.846)
227,228.0,Kravaře u České Lípy,3.0,1.0,1.0,1.0,0.0,50.632,14.392,1.0,gemeinde,,Böhmen,Böhmen,Nordböhmen,NB,Nordböhmen,POINT (14.392 50.632)
228,229.0,Krems an der Donau,73.0,30.0,30.0,6.0,7.0,48.41,15.62,1.0,gemeinde,,Niederösterreich,Niederösterreich,Nordwestniederösterreich,NWNÖ,Nordwestniederösterreich,POINT (15.62 48.41)
230,231.0,Křivoklát,14.0,7.0,7.0,0.0,0.0,50.038,13.872,1.0,gemeinde,,Böhmen,Böhmen,Mittelböhmen,MB,Mittelböhmen,POINT (13.872 50.038)
238,239.0,Laa an der Thaya,24.0,11.0,11.0,2.0,0.0,48.728,16.384,1.0,gemeinde,,Niederösterreich,Niederösterreich,Nordostniederösterreich,NONÖ,Nordostniederösterreich,POINT (16.384 48.728)
242,243.0,Laufen,2.0,1.0,1.0,0.0,0.0,47.935,12.931,1.0,gemeinde,,Ausland,Salzburg,Salzburg,Sa,Salzburg,POINT (12.931 47.935)
249,250.0,Leoben,5.0,2.0,2.0,1.0,0.0,47.379,15.095,1.0,gemeinde,,Steiermark,Steiermark,Nordsteiermark,NS,Nordsteiermark,POINT (15.095 47.379)
257,258.0,Lilienfeld,22.0,4.0,4.0,14.0,0.0,48.014,15.598,1.0,gemeinde,,Niederösterreich,Niederösterreich,Südwestniederösterreich,SWNÖ,Südwestniederösterreich,POINT (15.598 48.014)
258,259.0,Linz,49.0,19.0,19.0,4.0,7.0,48.306,14.286,1.0,gemeinde,,Oberösterreich,Oberösterreich,Oberösterreich,OÖ,Oberösterreich,POINT (14.286 48.306)
259,260.0,Litoměřice,14.0,4.0,4.0,6.0,0.0,50.533,14.132,1.0,gemeinde,,Böhmen,Böhmen,Nordböhmen,NB,Nordböhmen,POINT (14.132 50.533)
263,264.0,Logvino,2.0,1.0,1.0,0.0,0.0,54.766,20.208,1.0,gemeinde,,Ausland,Preussen,Preussen,Pre,Preussen,POINT (20.208 54.766)
264,265.0,Loket,2.0,1.0,1.0,0.0,0.0,50.187,12.754,1.0,gemeinde,,Böhmen,Böhmen,Südwestböhmen,SWB,Südwestböhmen,POINT (12.754 50.187)
272,273.0,Magyaróvár,6.0,2.0,2.0,2.0,0.0,47.873,17.264,1.0,gemeinde,,Ungarn,Ungarn,Westungarn,WU,Westungarn,POINT (17.264 47.873)
274,275.0,Mailberg,7.0,1.0,1.0,5.0,0.0,48.673,16.183,1.0,gemeinde,,Niederösterreich,Niederösterreich,Nordostniederösterreich,NONÖ,Nordostniederösterreich,POINT (16.183 48.673)
279,280.0,Marchegg,7.0,2.0,2.0,2.0,1.0,48.257,16.891,1.0,gemeinde,,Niederösterreich,Niederösterreich,Nordostniederösterreich,NONÖ,Nordostniederösterreich,POINT (16.891 48.257)
282,283.0,Maribor,11.0,5.0,5.0,0.0,1.0,46.554,15.648,1.0,gemeinde,,Steiermark,Steiermark,Südsteiermark,SS,Südsteiermark,POINT (15.648 46.554)
289,289.0,Mel'nikovo,2.0,1.0,1.0,0.0,0.0,54.875,20.461,1.0,gemeinde,,Ausland,Preussen,Preussen,Pre,Preussen,POINT (20.461 54.875)
299,299.0,Milevsko,2.0,1.0,1.0,0.0,0.0,49.45,14.361,1.0,gemeinde,,Böhmen,Böhmen,Südböhmen,SB,Südböhmen,POINT (14.361 49.45)
311,312.0,Moson,2.0,1.0,1.0,0.0,0.0,47.859,17.262,2.0,gemeinde,,Ungarn,Ungarn,Westungarn,WU,Westungarn,POINT (17.262 47.859)
312,313.0,Most,6.0,1.0,1.0,2.0,2.0,50.503,13.636,1.0,gemeinde,,Böhmen,Böhmen,Nordwestböhmen,NWB,Nordwestböhmen,POINT (13.636 50.503)
313,314.0,Mühldorf,2.0,1.0,1.0,0.0,0.0,48.242,12.524,1.0,gemeinde,Muhldorf am Inn,Ausland,Bayern,Bayern,Ba,Bayern,POINT (12.524 48.242)
318,319.0,Myšenec,2.0,1.0,1.0,0.0,0.0,49.223,14.208,1.0,gemeinde,,Böhmen,Böhmen,Südböhmen,SB,Südböhmen,POINT (14.208 49.223)
322,323.0,Netolice,3.0,1.0,1.0,0.0,1.0,49.05,14.197,1.0,gemeinde,,Böhmen,Böhmen,Südböhmen,SB,Südböhmen,POINT (14.197 49.05)
323,324.0,Neuburg am Inn,10.0,1.0,1.0,2.0,6.0,48.518,13.405,1.0,gemeinde,,Oberösterreich,Oberösterreich,Oberösterreich,OÖ,Oberösterreich,POINT (13.405 48.518)
327,328.0,Neunkirchen,3.0,1.0,1.0,1.0,0.0,47.727,16.082,3.0,gemeinde,V Nemecku sú ďalšie,Niederösterreich,Niederösterreich,Südostniederösterreich,SONÖ,Südostniederösterreich,POINT (16.082 47.727)
334,335.0,Nisowje,2.0,1.0,1.0,0.0,0.0,54.703,20.739,1.0,gemeinde,,Ausland,Preussen,Preussen,Pre,Preussen,POINT (20.739 54.703)
336,337.0,Nittenau,2.0,1.0,1.0,0.0,0.0,49.196,12.268,1.0,gemeinde,,Ausland,Bayern,Bayern,Ba,Bayern,POINT (12.268 49.196)
337,338.0,Nižbor,2.0,1.0,1.0,0.0,0.0,50.002,14.003,1.0,gemeinde,,Böhmen,Böhmen,Mittelböhmen,MB,Mittelböhmen,POINT (14.003 50.002)
365,367.0,Olomouc,86.0,22.0,22.0,37.0,5.0,49.596,17.252,1.0,gemeinde,,Mähren,Mähren,Olmützer Teil,OT,Olmützer Teil,POINT (17.252 49.596)
367,369.0,Opava,15.0,5.0,5.0,4.0,1.0,49.939,17.903,1.0,gemeinde,,Schlesien,Schlesien,Troppauer Teil,TT,Troppauer Teil,POINT (17.903 49.939)
384,385.0,Pannonhalma,3.0,1.0,1.0,1.0,0.0,47.549,17.755,1.0,gemeinde,,Ungarn,Ungarn,Westungarn,WU,Westungarn,POINT (17.755 47.549)
385,386.0,Passau,19.0,2.0,2.0,15.0,0.0,48.575,13.469,1.0,gemeinde,,Ausland,Bayern,Bayern,Ba,Bayern,POINT (13.469 48.575)
392,393.0,Pezinok,3.0,1.0,1.0,1.0,0.0,48.29,17.269,1.0,gemeinde,,Ungarn,Ungarn,Westungarn,WU,Westungarn,POINT (17.269 48.29)
395,396.0,Písek,28.0,13.0,13.0,1.0,1.0,49.309,14.148,1.0,gemeinde,,Böhmen,Böhmen,Südböhmen,SB,Südböhmen,POINT (14.148 49.309)
398,399.0,Plasy,15.0,4.0,4.0,7.0,0.0,49.934,13.39,1.0,gemeinde,,Böhmen,Böhmen,Mittelböhmen,MB,Mittelböhmen,POINT (13.39 49.934)
403,404.0,Poděbrady,18.0,9.0,9.0,0.0,0.0,50.142,15.119,1.0,gemeinde,,Böhmen,Böhmen,Ostböhmen,OB,Ostböhmen,POINT (15.119 50.142)
415,416.0,Pottenburg,2.0,1.0,1.0,0.0,0.0,48.119,17.026,1.0,gemeinde,,Ungarn,Ungarn,Westungarn,WU,Westungarn,POINT (17.026 48.119)
419,421.0,Praha,401.0,172.0,176.0,44.0,9.0,50.09,14.41,1.0,gemeinde,,Böhmen,Prag,Prag,Pr,Prag,POINT (14.41 50.09)
428,430.0,Přištpo,2.0,1.0,1.0,0.0,0.0,49.074,15.935,1.0,gemeinde,,Mähren,Mähren,Znaimer Teil,ZT,Znaimer Teil,POINT (15.935 49.074)
447,449.0,Regensburg,6.0,1.0,1.0,4.0,0.0,49.015,12.102,1.0,gemeinde,,Ausland,Bayern,Bayern,Ba,Bayern,POINT (12.102 49.015)
448,450.0,Regenstauf,2.0,1.0,1.0,0.0,0.0,49.155,12.17,1.0,gemeinde,,Ausland,Bayern,Bayern,Ba,Bayern,POINT (12.17 49.155)
461,463.0,Ried im Innkreis,3.0,1.0,1.0,1.0,0.0,48.209,13.488,1.0,gemeinde,BUrg,Oberösterreich,Oberösterreich,Oberösterreich,OÖ,Oberösterreich,POINT (13.488 48.209)
477,480.0,Sadská,8.0,4.0,4.0,0.0,0.0,50.134,14.985,1.0,gemeinde,,Böhmen,Böhmen,Ostböhmen,OB,Ostböhmen,POINT (14.985 50.134)
495,498.0,Seitenstetten,5.0,1.0,1.0,3.0,0.0,48.036,14.655,1.0,gemeinde,,Niederösterreich,Niederösterreich,Südwestniederösterreich,SWNÖ,Südwestniederösterreich,POINT (14.655 48.036)
496,499.0,Sereď,2.0,1.0,1.0,0.0,0.0,48.285,17.733,1.0,gemeinde,,Ungarn,Ungarn,Westungarn,WU,Westungarn,POINT (17.733 48.285)
497,500.0,Sewernaja Gora,2.0,1.0,1.0,0.0,0.0,54.76,20.55,1.0,gemeinde,,Ausland,Preussen,Preussen,Pre,Preussen,POINT (20.55 54.76)
498,501.0,Sitzenberg,3.0,1.0,1.0,1.0,0.0,48.321,15.809,1.0,gemeinde,Druhá je v Bavorsku,Niederösterreich,Niederösterreich,Südwestniederösterreich,SWNÖ,Südwestniederösterreich,POINT (15.809 48.321)
501,504.0,Slovenj Gradec,4.0,2.0,2.0,0.0,0.0,46.516,15.079,1.0,gemeinde,,Kärnten,Kärnten,Ostkärnten,OK,Ostkärnten,POINT (15.079 46.516)
505,508.0,Sopron,6.0,2.0,2.0,2.0,0.0,47.685,16.59,1.0,gemeinde,,Ungarn,Ungarn,Westungarn,WU,Westungarn,POINT (16.59 47.685)
512,515.0,Staatz,2.0,1.0,1.0,0.0,0.0,48.693,16.487,1.0,gemeinde,,Niederösterreich,Niederösterreich,Nordostniederösterreich,NONÖ,Nordostniederösterreich,POINT (16.487 48.693)
523,525.0,Steyr,7.0,2.0,2.0,1.0,2.0,48.039,14.419,1.0,gemeinde,,Oberösterreich,Oberösterreich,Oberösterreich,OÖ,Oberösterreich,POINT (14.419 48.039)
525,527.0,Stična,2.0,1.0,1.0,0.0,0.0,45.957,14.806,1.0,gemeinde,,Krain + Aquileia,Krain,Krain,Kr,Krain,POINT (14.806 45.957)
533,535.0,Stříbro,6.0,1.0,1.0,1.0,3.0,49.752,13.003,1.0,gemeinde,,Böhmen,Böhmen,Südwestböhmen,SWB,Südwestböhmen,POINT (13.003 49.752)
548,550.0,Svätý Júr,3.0,1.0,1.0,1.0,0.0,48.254,17.213,1.0,gemeinde,,Ungarn,Ungarn,Westungarn,WU,Westungarn,POINT (17.213 48.254)
562,564.0,Tittmoning,2.0,1.0,1.0,0.0,0.0,48.063,12.768,1.0,gemeinde,,Ausland,Salzburg,Salzburg,Sa,Salzburg,POINT (12.768 48.063)
564,566.0,Toruń,2.0,1.0,1.0,0.0,0.0,53.01,18.605,1.0,gemeinde,,Ausland,Pommern,Pommern,POM,Pommern,POINT (18.605 53.01)
566,568.0,Traiskirchen,2.0,1.0,1.0,0.0,0.0,48.014,16.295,1.0,gemeinde,,Niederösterreich,Niederösterreich,Südostniederösterreich,SONÖ,Südostniederösterreich,POINT (16.295 48.014)
570,572.0,Trnava,3.0,1.0,1.0,1.0,0.0,48.377,17.586,1.0,gemeinde,,Ungarn,Ungarn,Westungarn,WU,Westungarn,POINT (17.586 48.377)
575,577.0,Trzebnica,2.0,1.0,1.0,0.0,0.0,51.31,17.063,1.0,gemeinde,,Schlesien,Schlesien,Schlesien,Sl,Schlesien,POINT (17.063 51.31)
580,582.0,Uherské Hradiště,9.0,2.0,3.0,3.0,1.0,49.07,17.46,1.0,gemeinde,,Mähren,Mähren,Südostmähren,SOM,Südostmähren,POINT (17.46 49.07)
582,584.0,Uherský Ostroh,2.0,1.0,1.0,0.0,0.0,48.986,17.39,1.0,gemeinde,,Mähren,Mähren,Südostmähren,SOM,Südostmähren,POINT (17.39 48.986)
585,587.0,Uničov,2.0,1.0,1.0,0.0,0.0,49.771,17.121,1.0,gemeinde,,Mähren,Mähren,Olmützer Teil,OT,Olmützer Teil,POINT (17.121 49.771)
589,591.0,Velehrad,12.0,2.0,1.0,9.0,0.0,49.105,17.395,1.0,gemeinde,,Mähren,Mähren,Südostmähren,SOM,Südostmähren,POINT (17.395 49.105)
593,595.0,Veveří,1.0,1.0,0.0,0.0,0.0,49.257,16.462,1.0,gemeinde,,Mähren,Mähren,Brünner Teil,BT,Brünner Teil,POINT (16.462 49.257)
598,600.0,Vilstal,2.0,1.0,1.0,0.0,0.0,48.45,12.358,1.0,gemeinde,,Ausland,Bayern,Bayern,Ba,Bayern,POINT (12.358 48.45)
599,601.0,Villach,2.0,1.0,1.0,0.0,0.0,46.61,13.856,1.0,gemeinde,,Kärnten,Kärnten,Westkärnten,WK,Westkärnten,POINT (13.856 46.61)
601,603.0,Vöcklabruck,2.0,1.0,1.0,0.0,0.0,48.009,13.653,1.0,gemeinde,,Oberösterreich,Oberösterreich,Oberösterreich,OÖ,Oberösterreich,POINT (13.653 48.009)
604,606.0,Völkermarkt,2.0,1.0,1.0,0.0,0.0,46.662,14.633,1.0,gemeinde,,Kärnten,Kärnten,Ostkärnten,OK,Ostkärnten,POINT (14.633 46.662)
607,609.0,Vracov,4.0,2.0,2.0,0.0,0.0,48.977,17.209,1.0,gemeinde,,Mähren,Mähren,Südostmähren,SOM,Südostmähren,POINT (17.209 48.977)
613,614.0,Vyškov,4.0,2.0,2.0,0.0,0.0,49.28,17.0,1.0,gemeinde,,Mähren,Mähren,Olmützer Teil,OT,Olmützer Teil,POINT (17 49.28)
627,628.0,Wels,14.0,6.0,6.0,1.0,1.0,48.158,14.027,1.0,gemeinde,,Oberösterreich,Oberösterreich,Oberösterreich,OÖ,Oberösterreich,POINT (14.027 48.158)
631,632.0,Wien,271.0,116.0,124.0,23.0,8.0,48.221,16.388,1.0,gemeinde,,Niederösterreich,Wien,Wien,Wi,Wien,POINT (16.388 48.221)
632,633.0,Wiener Neustadt,31.0,8.0,8.0,10.0,5.0,47.81,16.24,1.0,gemeinde,,Niederösterreich,Niederösterreich,Südostniederösterreich,SONÖ,Südostniederösterreich,POINT (16.24 47.81)
637,638.0,Wilhelmsburg,2.0,1.0,1.0,0.0,0.0,48.105,15.606,1.0,gemeinde,,Niederösterreich,Niederösterreich,Südwestniederösterreich,SWNÖ,Südwestniederösterreich,POINT (15.606 48.105)
645,646.0,Wrocław,14.0,6.0,6.0,2.0,0.0,51.109,17.034,1.0,gemeinde,,Schlesien,Schlesien,Schlesien,Sl,Schlesien,POINT (17.034 51.109)
651,652.0,Žatec,4.0,1.0,1.0,1.0,1.0,50.33,13.54,1.0,gemeinde,,Böhmen,Böhmen,Nordwestböhmen,NWB,Nordwestböhmen,POINT (13.54 50.33)
652,653.0,Zbraslav,4.0,3.0,0.0,0.0,1.0,49.976,14.394,1.0,gemeinde,,Böhmen,Böhmen,Mittelböhmen,MB,Mittelböhmen,POINT (14.394 49.976)
666,667.0,Znojmo,59.0,27.0,27.0,3.0,2.0,48.86,16.05,1.0,gemeinde,,Mähren,Mähren,Znaimer Teil,ZT,Znaimer Teil,POINT (16.05 48.86)
667,668.0,Zvíkov,5.0,2.0,2.0,1.0,0.0,49.439,14.192,1.0,gemeinde,,Böhmen,Böhmen,Südböhmen,SB,Südböhmen,POINT (14.192 49.439)
669,670.0,Zwettl,23.0,2.0,2.0,18.0,1.0,48.607,15.169,1.0,gemeinde,,Niederösterreich,Niederösterreich,Nordwestniederösterreich,NWNÖ,Nordwestniederösterreich,POINT (15.169 48.607)
711,709.0,Pottendorf,4.0,1.0,1.0,2.0,0.0,47.91,16.388,1.0,gemeinde,,Niederösterreich,Niederösterreich,Südostniederösterreich,SONÖ,Südostniederösterreich,POINT (16.388 47.91)
